"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
39,"Ohio",2013,48081,709,5,"Great Lakes",0.177
40,"Oklahoma",2013,45690,705,6,"South Central",0.185
41,"Oregon",2013,50251,887,10,"Pacific Northwest",0.212
42,"Pennsylvania",2013,52007,828,3,"Mid-Atlantic",0.191
44,"Rhode Island",2013,55902,918,1,"New England",0.197
45,"South Carolina",2013,44163,766,4,"Southeast",0.208
46,"South Dakota",2013,48947,637,8,"Mountain North",0.156
47,"Tennessee",2013,44297,748,4,"Southeast",0.203
48,"Texas",2013,51704,857,6,"South Central",0.199
50,"Vermont",2013,52578,865,1,"New England",0.197
49,"Utah",2013,59770,881,8,"Mountain North",0.177
51,"Virginia",2013,62666,1086,3,"Mid-Atlantic",0.208
53,"Washington",2013,58405,989,10,"Pacific Northwest",0.203
54,"West Virginia",2013,41253,620,3,"Mid-Atlantic",0.18
55,"Wisconsin",2013,51467,758,5,"Great Lakes",0.177
56,"Wyoming",2013,58752,780,8,"Mountain North",0.159
72,"Puerto Rico",2013,19183,448,11,"Puerto Rico",0.28
1,"Alabama",2013,42849,694,4,"Southeast",0.194
2,"Alaska",2013,72237,1117,10,"Pacific Northwest",0.186
4,"Arizona",2013,48510,890,9,"Pacific Southwest",0.22
5,"Arkansas",2013,40511,659,6,"South Central",0.195
6,"California",2013,60190,1224,9,"Pacific Southwest",0.244
8,"Colorado",2013,58823,971,8,"Mountain North",0.198
10,"Delaware",2013,57846,999,3,"Mid-Atlantic",0.207
11,"District of Columbia",2013,67572,1307,3,"Mid-Atlantic",0.232
9,"Connecticut",2013,67098,1040,1,"New England",0.186
12,"Florida",2013,46036,972,4,"Southeast",0.253
